epoch,train_acc,val_acc
1,99.57520244258596,100.0
2,99.97345015266163,100.0
3,100.0,100.0
4,100.0,100.0
5,100.0,100.0
6,99.78760122129297,100.0
7,99.93362538165405,100.0
8,99.93362538165405,100.0
9,100.0,100.0
10,99.98672507633081,100.0
